                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.43389,                0.67309,                0.32094,                 0.8822,                0.64965,                0.51323,                0.55634,                0.32491,                0.62241,                0.49206,                0.54762,                0.31425,                 1.6552,                 2.8662,                 1.7514,                  1.681,               0.002377,               0.002377,               0.002377
                     79,                0.44637,                0.72127,                0.30772,                0.86592,                0.67845,                0.50238,                0.56504,                0.33363,                0.65402,                 0.4801,                0.56151,                 0.3164,                 1.5819,                 2.7221,                 1.7788,                 1.5972,               0.002278,               0.002278,               0.002278
                     80,                0.44772,                0.69759,                0.30008,                0.86996,                0.62325,                0.51643,                0.57179,                0.33343,                0.73502,                0.43386,                0.56344,                0.32029,                 1.6371,                 2.7627,                 1.9081,                 1.6402,               0.002179,               0.002179,               0.002179
                     81,                0.45328,                0.72464,                0.32296,                0.89032,                0.68256,                0.47782,                 0.5721,                0.33415,                0.67994,                0.46086,                0.55982,                0.32999,                 1.6859,                 2.7615,                 2.0324,                 1.7112,                0.00208,                0.00208,                0.00208
                     82,                0.42782,                0.67359,                0.32894,                0.87072,                0.70847,                0.46561,                0.58518,                0.35689,                0.69856,                0.46032,                0.58797,                0.35131,                 1.6388,                 2.6763,                 2.0757,                  1.676,               0.001981,               0.001981,               0.001981
                     83,                 0.4475,                0.73113,                0.31163,                0.88532,                0.74156,                0.48582,                0.60022,                0.37365,                0.74097,                0.48433,                 0.5971,                0.36194,                 1.6042,                 2.6454,                 1.9287,                 1.6623,               0.001882,               0.001882,               0.001882
                     84,                0.43977,                 0.6963,                0.31632,                 0.8731,                0.71501,                0.49116,                0.58584,                0.36598,                0.74361,                0.48677,                0.59594,                0.35701,                 1.6182,                 2.6882,                 1.8332,                 1.6905,               0.001783,               0.001783,               0.001783
                     85,                0.43623,                0.66939,                0.30379,                0.86911,                0.73396,                0.48148,                0.60081,                0.37578,                0.75861,                0.48148,                0.61422,                0.36945,                 1.5817,                 2.6949,                 1.7895,                  1.664,               0.001684,               0.001684,               0.001684
                     86,                0.44374,                0.71755,                0.30085,                0.87552,                0.73155,                0.48148,                0.60945,                0.37926,                0.75203,                0.49206,                 0.6134,                0.37053,                 1.5854,                 2.7107,                 1.7118,                 1.6788,               0.001585,               0.001585,               0.001585
                     87,                0.42243,                0.69181,                0.30501,                  0.885,                0.73147,                0.49735,                0.61926,                0.37564,                0.76491,                0.51645,                0.63677,                0.37179,                 1.6302,                 2.6836,                 1.6643,                 1.7455,               0.001486,               0.001486,               0.001486
                     88,                 0.4144,                0.69188,                0.29204,                0.87786,                 0.7085,                 0.5291,                0.62727,                 0.3816,                0.74498,                0.51323,                 0.6316,                0.37387,                 1.6437,                 2.6525,                 1.7121,                 1.7485,               0.001387,               0.001387,               0.001387
                     89,                0.43028,                0.66381,                0.29195,                0.88195,                0.74858,                0.50411,                 0.6322,                0.38514,                0.77989,                0.52492,                0.64312,                0.37491,                 1.6574,                 2.6373,                 1.6882,                 1.7779,               0.001288,               0.001288,               0.001288
                     90,                0.37932,                0.59399,                0.27828,                 0.8233,                0.74886,                0.50265,                0.63139,                0.38725,                0.77593,                 0.5291,                0.64773,                0.37599,                 1.6122,                 2.7126,                 1.6573,                 1.7586,               0.001189,               0.001189,               0.001189
                     91,                0.37531,                0.56016,                0.25769,                0.81864,                0.76413,                0.49206,                 0.6207,                0.38386,                0.78554,                0.50794,                 0.6372,                 0.3771,                 1.5818,                 2.6811,                 1.7068,                 1.7328,                0.00109,                0.00109,                0.00109
                     92,                0.36717,                0.53132,                0.24331,                0.82179,                0.76867,                0.50986,                0.62167,                0.38597,                0.80405,                0.52106,                0.63911,                0.37068,                 1.5922,                 2.6653,                  1.749,                 1.7383,               0.000991,               0.000991,               0.000991
                     93,                0.34489,                0.53622,                0.24681,                0.81152,                0.76045,                0.50389,                0.61233,                0.37734,                0.81153,                0.52381,                0.63661,                0.36965,                 1.5916,                 2.6079,                 1.7465,                 1.7204,               0.000892,               0.000892,               0.000892
                     94,                0.32383,                0.53667,                0.24082,                0.80538,                0.75742,                0.48148,                0.60835,                0.37804,                0.80193,                0.50794,                0.63684,                 0.3684,                 1.6011,                 2.5898,                 1.7978,                 1.7147,               0.000793,               0.000793,               0.000793
                     95,                0.33838,                0.55355,                0.23681,                0.81905,                 0.7737,                0.48677,                0.61111,                0.37996,                0.80847,                0.50794,                0.63285,                 0.3714,                 1.5876,                 2.5712,                 1.8601,                  1.717,               0.000694,               0.000694,               0.000694
                     96,                0.31192,                0.49764,                0.22943,                0.80898,                0.77182,                0.49206,                0.61748,                0.38183,                 0.7734,                0.49206,                0.62763,                0.37146,                 1.5855,                 2.6023,                 1.9196,                 1.7221,               0.000595,               0.000595,               0.000595
                     97,                0.35117,                0.53654,                0.24472,                0.82356,                0.76157,                0.49012,                 0.6206,                0.38371,                0.77022,                 0.4966,                0.62251,                0.37421,                 1.5887,                 2.6366,                 1.9203,                 1.7119,               0.000496,               0.000496,               0.000496
                     98,                0.30946,                0.52794,                0.22717,                0.80941,                0.76371,                0.48677,                 0.6209,                0.38425,                0.76772,                0.48965,                0.62121,                0.36958,                 1.5946,                 2.6534,                 1.8935,                  1.706,               0.000397,               0.000397,               0.000397
                     99,                0.30658,                0.51874,                0.22012,                0.79737,                0.73729,                0.49002,                0.61988,                0.38455,                0.76222,                0.50881,                0.62325,                0.37014,                 1.5902,                   2.65,                 1.8562,                 1.6987,               0.000298,               0.000298,               0.000298
